Id,Label,timeset,name,institute,department,year,title,reference,componentnumber
20486,宋金宝,,宋金宝,CHINESE ACADEMY OF SCIENCES,地球科学部,2004,JQ,5.521460918,
20485,孙为银,,孙为银,NANJING UNIVERSITY,化学科学部,2004,JQ,8.501063809,
20484,孙旭东,,孙旭东,NORTHEASTERN UNIVERSITY,工程与材料科学部,2004,JQ,7.53796266,
20483,孙智伟,,孙智伟,NANJING UNIVERSITY,数理科学部,2004,JQ,6.687108608,
20482,童利民,,童利民,ZHEJIANG UNIVERSITY,科技创新领军人才,2016,JQ,8.838116598,
20481,王晋军,,王晋军,BEIHANG UNIVERSITY,数理科学部,2004,JQ,6.469250317,
20480,王少杰,,王少杰,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,5.59471138,
20479,王习东,,王习东,PEKING UNIVERSITY,工程与材料科学部,2004,JQ,7.301147806,
20478,王孝群,,王孝群,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,7.850493181,
20477,王振林,,王振林,NANJING UNIVERSITY,数理科学部,2004,JQ,5.129898715,
20476,吴德金,,吴德金,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,6.091309882,
20475,吴敏,,吴敏,CENTRAL SOUTH UNIVERSITY,信息科学部,2004,JQ,5.214935758,
20474,吴乔,,吴乔,XIAMEN UNIVERSITY,生命科学部,2004,JQ,6.858565035,
20473,武培怡,,武培怡,FUDAN UNIVERSITY,化学科学部,2004,JQ,8.298041661,
20472,邢志忠,,邢志忠,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,7.75576717,
20471,徐坚,,徐坚,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,2004,JQ,0,
20470,徐军,,徐军,CHINESE ACADEMY OF SCIENCES,信息科学部,2004,JQ,6.70073111,
20469,杨大春,,杨大春,BEIJING NORMAL UNIVERSITY,数理科学部,2004,JQ,7.133295955,
20468,杨华勇,,杨华勇,ZHEJIANG UNIVERSITY,工程与材料科学部,2004,JQ,7.515344571,
20467,袁正宏,,袁正宏,FUDAN UNIVERSITY,生命科学部,2004,JQ,8.22067217,
20466,赵国群,,赵国群,SHANDONG UNIVERSITY,工程与材料科学部,2004,JQ,7.252762418,
20465,郑循华,,郑循华,CHINESE ACADEMY OF SCIENCES,地球科学部,2004,JQ,8.153061947,
20464,周爱辉,,周爱辉,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,6.898714534,
20463,周坚,,周坚,TSINGHUA UNIVERSITY,数理科学部,2004,JQ,6.212606096,
20462,朱卫国,,朱卫国,PEKING UNIVERSITY,医学科学部,2004,JQ,7.626082758,
20461,蔡荣根,,蔡荣根,CHINESE ACADEMY OF SCIENCES,百千万工程领军人才,2016,JQ,9.431481921,
20460,曹荣,,曹荣,CHINESE ACADEMY OF SCIENCES,化学科学部,2003,JQ,9.321613374,
20459,曹晓风,,曹晓风,CHINESE ACADEMY OF SCIENCES,生命科学和医学学部,2015,JQ,9.772923183,
20458,曹新伍,,曹新伍,CHINESE ACADEMY OF SCIENCES,数理科学部,2003,JQ,6.559615237,0
20457,陈建峰,,陈建峰,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,科技创新领军人才,2012,JQ,9.354007722,
20456,陈佺,,陈佺,CHINESE ACADEMY OF SCIENCES,生命科学部,2003,JQ,9.838041953,
20455,陈如山,,陈如山,NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY,信息科学部,2003,JQ,6.388561406,
20454,陈增敬,,陈增敬,SHANDONG UNIVERSITY,数理科学部,2003,JQ,6.274762021,
20453,段文晖,,段文晖,TSINGHUA UNIVERSITY,技术科学部,2017,JQ,8.749732464,
20452,冯夏庭,,冯夏庭,CHINESE ACADEMY OF SCIENCES,百千万工程领军人才,2016,JQ,6.257667588,
20451,龚流柱,,龚流柱,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,科技创新领军人才,2016,JQ,8.45723085,
20450,古洁若,,古洁若,SUN YAT-SEN UNIVERSITY,医学科学部,2003,JQ,7.657282793,
20449,郭东明,,郭东明,DALIAN UNIVERSITY OF TECHNOLOGY,工程与材料科学部,2003,JQ,8.74671635,
20448,韩斌,,韩斌,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2016,JQ,9.928472805,
20447,韩秀峰,,韩秀峰,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,2003,JQ,8.03915739,
20446,何国威,,何国威,CHINESE ACADEMY OF SCIENCES,数学物理学部,2017,JQ,7.367708572,
20445,胡更开,,胡更开,BEIJING INSTITUTE OF TECHNOLOGY,数理科学部,2003,JQ,7.896924656,
20444,黄庆安,,黄庆安,SOUTHEAST UNIVERSITY,工程与材料科学部,2003,JQ,7.047517221,
20443,黄维,,黄维,NANJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,信息科学部,2003,JQ,6.249975242,
20442,纪越峰,,纪越峰,BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,信息科学部,2003,JQ,7.116394144,
20441,姜建壮,,姜建壮,SHANDONG UNIVERSITY,百千万工程领军人才,2016,JQ,7.558516743,0
20440,姜明,,姜明,PEKING UNIVERSITY,信息科学部,2003,JQ,8.211754397,
20439,蒋新,,蒋新,CHINESE ACADEMY OF SCIENCES,地球科学部,2003,JQ,8.037543185,
20438,鞠熀先,,鞠熀先,NANJING UNIVERSITY,化学科学部,2003,JQ,10.00572821,
20437,匡乐满,,匡乐满,HUNAN NORMAL UNIVERSITY,数理科学部,2003,JQ,6.086774727,
20436,李大伟,,李大伟,CHINA AGRICULTURAL UNIVERSITY,生命科学部,2003,JQ,6.167516491,
20435,李建平,,李建平,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2016,JQ,8.515191189,
20434,李林,,李林,CHINESE ACADEMY OF SCIENCES,化学科学部,2003,JQ,10.45504237,
20433,李树深,,李树深,CHINESE ACADEMY OF SCIENCES,信息技术科学部,2011,JQ,9.202409002,
20432,李元元,,李元元,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,工程与材料科学部,2003,JQ,7.450660796,
20431,刘日平,,刘日平,YANSHAN UNIVERSITY,工程与材料科学部,2003,JQ,7.797291274,
20430,龙桂鲁,,龙桂鲁,TSINGHUA UNIVERSITY,数理科学部,2003,JQ,8.22067217,
20429,马东阁,,马东阁,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2017,JQ,8.830835366,
20428,马秀良,,马秀良,CHINESE ACADEMY OF SCIENCES,工程与材料科学部,2003,JQ,7.878155337,0
20427,孟光,,孟光,SHANGHAI JIAO TONG UNIVERSITY,数理科学部,2003,JQ,7.627057417,
20426,潘峰,,潘峰,TSINGHUA UNIVERSITY,科技创新领军人才,2016,JQ,7.938088727,
20425,潘永信,,潘永信,CHINESE ACADEMY OF SCIENCES,地学部,2017,JQ,8.288031568,
20424,彭联刚,,彭联刚,SICHUAN UNIVERSITY,数理科学部,2003,JQ,4.890349128,
