Source,Target,Type,Id,Label,timeset,Weight,value
10209,60023,Undirected,16745,,,2,2
10171,30101,Undirected,16746,,,1,1
21497,40127,Undirected,16747,,,1,1
20317,40113,Undirected,16748,,,1,1
10528,20775,Undirected,16749,,,3,3
10554,40148,Undirected,16750,,,12,12
20005,21829,Undirected,16751,,,1,1
20786,60089,Undirected,16752,,,110,110
20786,60086,Undirected,16753,,,115,115
20879,21012,Undirected,16754,,,4,4
11078,20008,Undirected,16755,,,1,1
20066,20770,Undirected,16756,,,1,1
10237,50010,Undirected,16757,,,27,27
10681,20500,Undirected,16758,,,1,1
20963,21069,Undirected,16759,,,50,50
10865,21725,Undirected,16760,,,1,1
20894,40051,Undirected,16761,,,1,1
21738,40042,Undirected,16762,,,99,99
10466,10594,Undirected,16763,,,8,8
20825,40042,Undirected,16764,,,1,1
20296,20899,Undirected,16765,,,1,1
20497,20786,Undirected,16766,,,1,1
10732,40085,Undirected,16767,,,1,1
40120,50075,Undirected,16768,,,1,1
10530,11125,Undirected,16769,,,2,2
10191,10347,Undirected,16770,,,2,2
20272,20425,Undirected,16771,,,3,3
20042,21237,Undirected,16772,,,2,2
10120,21391,Undirected,16773,,,2,2
20457,50037,Undirected,16774,,,1,1
21613,50059,Undirected,16775,,,1,1
20408,40189,Undirected,16776,,,1,1
20033,20803,Undirected,16777,,,2,2
11179,30010,Undirected,16778,,,1,1
10812,20649,Undirected,16779,,,1,1
10944,20058,Undirected,16780,,,1,1
10028,20038,Undirected,16781,,,1,1
20731,40006,Undirected,16782,,,3,3
10122,20743,Undirected,16783,,,1,1
20221,20314,Undirected,16784,,,1,1
20745,21449,Undirected,16785,,,1,1
10178,40035,Undirected,16786,,,2,2
10430,10914,Undirected,16787,,,2,2
10084,21401,Undirected,16788,,,1,1
20571,20617,Undirected,16789,,,41,41
10434,30412,Undirected,16790,,,2,2
20355,21778,Undirected,16791,,,1,1
10266,10838,Undirected,16792,,,2,2
20116,20932,Undirected,16793,,,1,1
21075,21515,Undirected,16794,,,1,1
20098,20175,Undirected,16795,,,2,2
21537,30244,Undirected,16796,,,3,3
10481,40016,Undirected,16797,,,6,6
10067,21358,Undirected,16798,,,1,1
40062,40071,Undirected,16799,,,1,1
20064,30412,Undirected,16800,,,8,8
21083,21107,Undirected,16801,,,2,2
20108,40178,Undirected,16802,,,3,3
10352,40061,Undirected,16803,,,58,58
20422,21133,Undirected,16804,,,20,20
10167,21829,Undirected,16805,,,257,257
10629,11257,Undirected,16806,,,1,1
20326,50061,Undirected,16807,,,1,1
20779,40070,Undirected,16808,,,2,2
10607,20106,Undirected,16809,,,32,32
20891,21690,Undirected,16810,,,3,3
20074,40002,Undirected,16811,,,1,1
10237,21080,Undirected,16812,,,7,7
20157,20331,Undirected,16813,,,590,590
20039,20601,Undirected,16814,,,11,11
10099,21510,Undirected,16815,,,1,1
10127,10573,Undirected,16816,,,1,1
20749,21230,Undirected,16817,,,2,2
10565,21591,Undirected,16818,,,28,28
10383,20357,Undirected,16819,,,2,2
10927,20727,Undirected,16820,,,2,2
10435,10574,Undirected,16821,,,1,1
10527,21340,Undirected,16822,,,18,18
20523,21155,Undirected,16823,,,1,1
10334,10594,Undirected,16824,,,1,1
21660,40068,Undirected,16825,,,1,1
21443,40010,Undirected,16826,,,1,1
20023,20603,Undirected,16827,,,5,5
10578,40102,Undirected,16828,,,1,1
20537,21298,Undirected,16829,,,1,1
20544,50060,Undirected,16830,,,2,2
21430,21615,Undirected,16831,,,1,1
20382,21323,Undirected,16832,,,1,1
10651,40060,Undirected,16833,,,5,5
20559,20897,Undirected,16834,,,4,4
20537,21290,Undirected,16835,,,4,4
10579,40058,Undirected,16836,,,1,1
21083,50084,Undirected,16837,,,1,1
20108,40019,Undirected,16838,,,8,8
10198,40138,Undirected,16839,,,1,1
10304,10789,Undirected,16840,,,14,14
20826,40192,Undirected,16841,,,12,12
11085,30211,Undirected,16842,,,2,2
10062,20175,Undirected,16843,,,5,5
20325,40102,Undirected,16844,,,4,4
20543,40192,Undirected,16845,,,1,1
20928,21764,Undirected,16846,,,2,2
30080,40030,Undirected,16847,,,1,1
21026,21146,Undirected,16848,,,2,2
20013,21359,Undirected,16849,,,2,2
21194,30082,Undirected,16850,,,3,3
20372,20703,Undirected,16851,,,2,2
20275,20519,Undirected,16852,,,2,2
10576,21575,Undirected,16853,,,1,1
10215,40145,Undirected,16854,,,70,70
